"Region","region","Tid","Alder","ledige"
"481","1101","Eigersund","2003M01","15-74",3.9
"482","1101","Eigersund","2003M02","15-74",3
"483","1101","Eigersund","2003M03","15-74",2.8
"484","1101","Eigersund","2003M04","15-74",3.6
"485","1101","Eigersund","2003M05","15-74",3.2
"486","1101","Eigersund","2003M06","15-74",3
"487","1101","Eigersund","2003M07","15-74",3.7
"488","1101","Eigersund","2003M08","15-74",3.8
"489","1101","Eigersund","2003M09","15-74",3.8
"490","1101","Eigersund","2003M10","15-74",3.9
"491","1101","Eigersund","2003M11","15-74",4.7
"492","1101","Eigersund","2003M12","15-74",4.6
"493","1101","Eigersund","2004M01","15-74",4
"494","1101","Eigersund","2004M02","15-74",3.3
"495","1101","Eigersund","2004M03","15-74",3.2
"496","1101","Eigersund","2004M04","15-74",2.7
"497","1101","Eigersund","2004M05","15-74",2.5
"498","1101","Eigersund","2004M06","15-74",2.2
"499","1101","Eigersund","2004M07","15-74",3.1
"500","1101","Eigersund","2004M08","15-74",3
"501","1101","Eigersund","2004M09","15-74",3
"502","1101","Eigersund","2004M10","15-74",3
"503","1101","Eigersund","2004M11","15-74",2.5
"504","1101","Eigersund","2004M12","15-74",2.5
"505","1101","Eigersund","2005M01","15-74",3.1
"506","1101","Eigersund","2005M02","15-74",2.8
"507","1101","Eigersund","2005M03","15-74",2.7
"508","1101","Eigersund","2005M04","15-74",2.5
"509","1101","Eigersund","2005M05","15-74",2.4
"510","1101","Eigersund","2005M06","15-74",2.3
"511","1101","Eigersund","2005M07","15-74",3
"512","1101","Eigersund","2005M08","15-74",2.8
"513","1101","Eigersund","2005M09","15-74",2.1
"514","1101","Eigersund","2005M10","15-74",2.3
"515","1101","Eigersund","2005M11","15-74",2.1
"516","1101","Eigersund","2005M12","15-74",2.1
"517","1101","Eigersund","2006M01","15-74",2
"518","1101","Eigersund","2006M02","15-74",1.8
"519","1101","Eigersund","2006M03","15-74",1.9
"520","1101","Eigersund","2006M04","15-74",1.6
"521","1101","Eigersund","2006M05","15-74",1.4
"522","1101","Eigersund","2006M06","15-74",1.5
"523","1101","Eigersund","2006M07","15-74",1.9
"524","1101","Eigersund","2006M08","15-74",1.8
"525","1101","Eigersund","2006M09","15-74",1.5
"526","1101","Eigersund","2006M10","15-74",1
"527","1101","Eigersund","2006M11","15-74",1
"528","1101","Eigersund","2006M12","15-74",1.1
"529","1101","Eigersund","2007M01","15-74",1.4
"530","1101","Eigersund","2007M02","15-74",1
"531","1101","Eigersund","2007M03","15-74",1.3
"532","1101","Eigersund","2007M04","15-74",1.4
"533","1101","Eigersund","2007M05","15-74",1.1
"534","1101","Eigersund","2007M06","15-74",0.9
"535","1101","Eigersund","2007M07","15-74",1.5
"536","1101","Eigersund","2007M08","15-74",1.3
"537","1101","Eigersund","2007M09","15-74",0.9
"538","1101","Eigersund","2007M10","15-74",0.8
"539","1101","Eigersund","2007M11","15-74",0.9
"540","1101","Eigersund","2007M12","15-74",1.2
"541","1101","Eigersund","2008M01","15-74",1.1
"542","1101","Eigersund","2008M02","15-74",0.8
"543","1101","Eigersund","2008M03","15-74",0.8
"544","1101","Eigersund","2008M04","15-74",1
"545","1101","Eigersund","2008M05","15-74",0.8
"546","1101","Eigersund","2008M06","15-74",1
"547","1101","Eigersund","2008M07","15-74",1.2
"548","1101","Eigersund","2008M08","15-74",1.2
"549","1101","Eigersund","2008M09","15-74",0.9
"550","1101","Eigersund","2008M10","15-74",0.9
"551","1101","Eigersund","2008M11","15-74",1
"552","1101","Eigersund","2008M12","15-74",1.4
"553","1101","Eigersund","2009M01","15-74",1.5
"554","1101","Eigersund","2009M02","15-74",1.7
"555","1101","Eigersund","2009M03","15-74",1.7
"556","1101","Eigersund","2009M04","15-74",1.9
"557","1101","Eigersund","2009M05","15-74",2
"558","1101","Eigersund","2009M06","15-74",1.9
"559","1101","Eigersund","2009M07","15-74",2.6
"560","1101","Eigersund","2009M08","15-74",2.8
"561","1101","Eigersund","2009M09","15-74",2.2
"562","1101","Eigersund","2009M10","15-74",2.3
"563","1101","Eigersund","2009M11","15-74",2
"564","1101","Eigersund","2009M12","15-74",2.4
"565","1101","Eigersund","2010M01","15-74",3.2
"566","1101","Eigersund","2010M02","15-74",3.1
"567","1101","Eigersund","2010M03","15-74",2.7
"568","1101","Eigersund","2010M04","15-74",2.9
"569","1101","Eigersund","2010M05","15-74",2.6
"570","1101","Eigersund","2010M06","15-74",2.6
"571","1101","Eigersund","2010M07","15-74",2.9
"572","1101","Eigersund","2010M08","15-74",2.8
"573","1101","Eigersund","2010M09","15-74",2.3
"574","1101","Eigersund","2010M10","15-74",2.3
"575","1101","Eigersund","2010M11","15-74",2.5
"576","1101","Eigersund","2010M12","15-74",2.5
"577","1101","Eigersund","1999M01","15-29",2
"578","1101","Eigersund","1999M02","15-29",1.8
"579","1101","Eigersund","1999M03","15-29",1.7
"580","1101","Eigersund","1999M04","15-29",2.5
"581","1101","Eigersund","1999M05","15-29",1.7
