"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1114 Bjerkreim";"15-74 år";"1999M01";0.8
"1114 Bjerkreim";"15-74 år";"1999M02";1.4
"1114 Bjerkreim";"15-74 år";"1999M03";0.8
"1114 Bjerkreim";"15-74 år";"1999M04";1.1
"1114 Bjerkreim";"15-74 år";"1999M05";0.7
"1114 Bjerkreim";"15-74 år";"1999M06";0.8
"1114 Bjerkreim";"15-74 år";"1999M07";0.8
"1114 Bjerkreim";"15-74 år";"1999M08";0.9
"1114 Bjerkreim";"15-74 år";"1999M09";1.0
"1114 Bjerkreim";"15-74 år";"1999M10";0.4
"1114 Bjerkreim";"15-74 år";"1999M11";0.6
"1114 Bjerkreim";"15-74 år";"1999M12";0.9
"1114 Bjerkreim";"15-74 år";"2000M01";1.4
"1114 Bjerkreim";"15-74 år";"2000M02";1.3
"1114 Bjerkreim";"15-74 år";"2000M03";1.0
"1114 Bjerkreim";"15-74 år";"2000M04";1.0
"1114 Bjerkreim";"15-74 år";"2000M05";1.1
"1114 Bjerkreim";"15-74 år";"2000M06";1.7
"1114 Bjerkreim";"15-74 år";"2000M07";1.4
"1114 Bjerkreim";"15-74 år";"2000M08";1.7
"1114 Bjerkreim";"15-74 år";"2000M09";1.5
"1114 Bjerkreim";"15-74 år";"2000M10";1.4
"1114 Bjerkreim";"15-74 år";"2000M11";1.5
"1114 Bjerkreim";"15-74 år";"2000M12";1.4
"1114 Bjerkreim";"15-74 år";"2001M01";1.4
"1114 Bjerkreim";"15-74 år";"2001M02";1.4
"1114 Bjerkreim";"15-74 år";"2001M03";1.1
"1114 Bjerkreim";"15-74 år";"2001M04";1.2
"1114 Bjerkreim";"15-74 år";"2001M05";1.1
"1114 Bjerkreim";"15-74 år";"2001M06";1.3
"1114 Bjerkreim";"15-74 år";"2001M07";1.5
"1114 Bjerkreim";"15-74 år";"2001M08";1.2
"1114 Bjerkreim";"15-74 år";"2001M09";1.3
"1114 Bjerkreim";"15-74 år";"2001M10";1.1
"1114 Bjerkreim";"15-74 år";"2001M11";1.3
"1114 Bjerkreim";"15-74 år";"2001M12";1.2
"1114 Bjerkreim";"15-74 år";"2002M01";1.3
"1114 Bjerkreim";"15-74 år";"2002M02";1.1
"1114 Bjerkreim";"15-74 år";"2002M03";1.2
"1114 Bjerkreim";"15-74 år";"2002M04";1.1
"1114 Bjerkreim";"15-74 år";"2002M05";1.1
"1114 Bjerkreim";"15-74 år";"2002M06";1.1
"1114 Bjerkreim";"15-74 år";"2002M07";1.1
"1114 Bjerkreim";"15-74 år";"2002M08";1.5
"1114 Bjerkreim";"15-74 år";"2002M09";1.2
"1114 Bjerkreim";"15-74 år";"2002M10";1.4
"1114 Bjerkreim";"15-74 år";"2002M11";1.7
"1114 Bjerkreim";"15-74 år";"2002M12";1.8
"1119 Hå";"15-74 år";"1999M01";1.0
"1119 Hå";"15-74 år";"1999M02";0.9
"1119 Hå";"15-74 år";"1999M03";1.0
"1119 Hå";"15-74 år";"1999M04";0.9
"1119 Hå";"15-74 år";"1999M05";0.8
"1119 Hå";"15-74 år";"1999M06";0.9
"1119 Hå";"15-74 år";"1999M07";1.0
"1119 Hå";"15-74 år";"1999M08";1.2
"1119 Hå";"15-74 år";"1999M09";1.1
"1119 Hå";"15-74 år";"1999M10";1.2
"1119 Hå";"15-74 år";"1999M11";1.2
"1119 Hå";"15-74 år";"1999M12";1.3
"1119 Hå";"15-74 år";"2000M01";1.5
"1119 Hå";"15-74 år";"2000M02";1.4
"1119 Hå";"15-74 år";"2000M03";1.3
"1119 Hå";"15-74 år";"2000M04";1.4
"1119 Hå";"15-74 år";"2000M05";1.3
"1119 Hå";"15-74 år";"2000M06";1.7
"1119 Hå";"15-74 år";"2000M07";1.8
"1119 Hå";"15-74 år";"2000M08";1.8
"1119 Hå";"15-74 år";"2000M09";1.9
"1119 Hå";"15-74 år";"2000M10";2.4
"1119 Hå";"15-74 år";"2000M11";2.3
"1119 Hå";"15-74 år";"2000M12";2.1
"1119 Hå";"15-74 år";"2001M01";2.0
"1119 Hå";"15-74 år";"2001M02";1.6
"1119 Hå";"15-74 år";"2001M03";1.7
"1119 Hå";"15-74 år";"2001M04";1.4
"1119 Hå";"15-74 år";"2001M05";1.3
"1119 Hå";"15-74 år";"2001M06";1.2
"1119 Hå";"15-74 år";"2001M07";1.4
"1119 Hå";"15-74 år";"2001M08";1.4
"1119 Hå";"15-74 år";"2001M09";1.3
"1119 Hå";"15-74 år";"2001M10";1.2
"1119 Hå";"15-74 år";"2001M11";1.3
"1119 Hå";"15-74 år";"2001M12";1.3
"1119 Hå";"15-74 år";"2002M01";1.7
"1119 Hå";"15-74 år";"2002M02";1.5
"1119 Hå";"15-74 år";"2002M03";1.4
"1119 Hå";"15-74 år";"2002M04";1.4
"1119 Hå";"15-74 år";"2002M05";1.2
"1119 Hå";"15-74 år";"2002M06";1.3
"1119 Hå";"15-74 år";"2002M07";1.6
"1119 Hå";"15-74 år";"2002M08";1.7
